country,location,lat,lon,year,sampleID,sampleNo,folder,picname
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,4,France_Port_Haliguen_Quiberon_1972,ID2-4
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,5,France_Port_Haliguen_Quiberon_1972,ID2-5
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,6,France_Port_Haliguen_Quiberon_1972,ID2-6
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,7,France_Port_Haliguen_Quiberon_1972,ID2-7
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,8,France_Port_Haliguen_Quiberon_1972,ID2-8
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,9,France_Port_Haliguen_Quiberon_1972,ID2-9
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,10,France_Port_Haliguen_Quiberon_1972,ID2-10
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,11,France_Port_Haliguen_Quiberon_1972,ID2-11
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,12,France_Port_Haliguen_Quiberon_1972,ID2-12
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,13,France_Port_Haliguen_Quiberon_1972,ID2-13
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,14,France_Port_Haliguen_Quiberon_1972,ID2-14
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,15,France_Port_Haliguen_Quiberon_1972,ID2-15
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,16,France_Port_Haliguen_Quiberon_1972,ID2-16
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,17,France_Port_Haliguen_Quiberon_1972,ID2-17
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,18,France_Port_Haliguen_Quiberon_1972,ID2-18
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,19,France_Port_Haliguen_Quiberon_1972,ID2-19
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,20,France_Port_Haliguen_Quiberon_1972,ID2-20
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,21,France_Port_Haliguen_Quiberon_1972,ID2-21
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,22,France_Port_Haliguen_Quiberon_1972,ID2-22
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,23,France_Port_Haliguen_Quiberon_1972,ID2-23
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,24,France_Port_Haliguen_Quiberon_1972,ID2-24
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,25,France_Port_Haliguen_Quiberon_1972,ID2-25
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,26,France_Port_Haliguen_Quiberon_1972,ID2-26
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,27,France_Port_Haliguen_Quiberon_1972,ID2-27
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,28,France_Port_Haliguen_Quiberon_1972,ID2-28
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,29,France_Port_Haliguen_Quiberon_1972,ID2-29
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,30,France_Port_Haliguen_Quiberon_1972,ID2-30
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,31,France_Port_Haliguen_Quiberon_1972,ID2-31
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,32,France_Port_Haliguen_Quiberon_1972,ID2-32
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,33,France_Port_Haliguen_Quiberon_1972,ID2-33
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,34,France_Port_Haliguen_Quiberon_1972,ID2-34
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,35,France_Port_Haliguen_Quiberon_1972,ID2-35
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,36,France_Port_Haliguen_Quiberon_1972,ID2-36
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,37,France_Port_Haliguen_Quiberon_1972,ID2-37
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,38,France_Port_Haliguen_Quiberon_1972,ID2-38
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,39,France_Port_Haliguen_Quiberon_1972,ID2-39
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,40,France_Port_Haliguen_Quiberon_1972,ID2-40
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,41,France_Port_Haliguen_Quiberon_1972,ID2-41
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,42,France_Port_Haliguen_Quiberon_1972,ID2-42
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,43,France_Port_Haliguen_Quiberon_1972,ID2-43
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,44,France_Port_Haliguen_Quiberon_1972,ID2-44
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,45,France_Port_Haliguen_Quiberon_1972,ID2-45
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,46,France_Port_Haliguen_Quiberon_1972,ID2-46
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,47,France_Port_Haliguen_Quiberon_1972,ID2-47
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,48,France_Port_Haliguen_Quiberon_1972,ID2-48
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,49,France_Port_Haliguen_Quiberon_1972,ID2-49
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,50,France_Port_Haliguen_Quiberon_1972,ID2-50
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,51,France_Port_Haliguen_Quiberon_1972,ID2-51
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,52,France_Port_Haliguen_Quiberon_1972,ID2-52
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,53,France_Port_Haliguen_Quiberon_1972,ID2-53
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,54,France_Port_Haliguen_Quiberon_1972,ID2-54
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,55,France_Port_Haliguen_Quiberon_1972,ID2-55
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,56,France_Port_Haliguen_Quiberon_1972,ID2-56
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,57,France_Port_Haliguen_Quiberon_1972,ID2-57
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,58,France_Port_Haliguen_Quiberon_1972,ID2-58
